F_id,Flight_number,Fare_code,Amount,Restrictions
91,62,business,627,non-refundable
92,62,business,702,refundable
93,62,coach,385,non-refundable
94,62,coach,435,refundable
95,62,first_class,862,non-refundable
96,62,first_class,962,refundable
97,63,business,503,non-refundable
98,63,business,578,refundable
99,63,coach,397,non-refundable
100,63,coach,447,refundable
101,63,first_class,833,non-refundable
102,63,first_class,933,refundable
103,64,business,567,non-refundable
104,64,business,642,refundable
105,64,coach,312,non-refundable
106,64,coach,362,refundable
107,64,first_class,979,non-refundable
108,64,first_class,1079,refundable
109,67,business,612,non-refundable
110,67,business,687,refundable
111,67,coach,390,non-refundable
112,67,coach,440,refundable
113,67,first_class,845,non-refundable
114,67,first_class,945,refundable
115,68,business,524,non-refundable
116,68,business,599,refundable
117,68,coach,380,non-refundable
118,68,coach,430,refundable
119,68,first_class,979,non-refundable
120,68,first_class,1079,refundable
121,69,business,535,non-refundable
122,69,business,610,refundable
123,69,coach,258,non-refundable
124,69,coach,308,refundable
125,69,first_class,800,non-refundable
126,69,first_class,900,refundable
127,72,business,650,non-refundable
128,72,business,725,refundable
129,72,coach,337,non-refundable
130,72,coach,387,refundable
131,72,first_class,915,non-refundable
132,72,first_class,1015,refundable
133,77,business,505,non-refundable
134,77,business,580,refundable
135,77,coach,399,non-refundable
136,77,coach,449,refundable
137,77,first_class,966,non-refundable
138,77,first_class,1066,refundable
139,78,business,536,non-refundable
140,78,business,611,refundable
141,78,coach,215,non-refundable
142,78,coach,265,refundable
143,78,first_class,879,non-refundable
144,78,first_class,979,refundable
145,81,business,630,non-refundable
146,81,business,705,refundable
147,81,coach,315,non-refundable
148,81,coach,365,refundable
149,81,first_class,837,non-refundable
150,81,first_class,937,refundable
151,82,business,617,non-refundable
152,82,business,692,refundable
153,82,coach,350,non-refundable
154,82,coach,400,refundable
155,82,first_class,856,non-refundable
156,82,first_class,956,refundable
157,83,business,528,non-refundable
158,83,business,603,refundable
159,83,coach,328,non-refundable
160,83,coach,378,refundable
161,83,first_class,864,non-refundable
162,83,first_class,964,refundable
163,85,business,531,non-refundable
164,85,business,606,refundable
165,85,coach,278,non-refundable
166,85,coach,328,refundable
167,85,first_class,911,non-refundable
168,85,first_class,1011,refundable
169,87,business,577,non-refundable
170,87,business,652,refundable
171,87,coach,206,non-refundable
172,87,coach,256,refundable
173,87,first_class,872,non-refundable
174,87,first_class,972,refundable
175,92,business,538,non-refundable
176,92,business,613,refundable
177,92,coach,322,non-refundable
178,92,coach,372,refundable
179,92,first_class,980,non-refundable
180,92,first_class,1080,refundable
181,94,business,635,non-refundable
182,94,business,710,refundable
183,94,coach,220,non-refundable
184,94,coach,270,refundable
185,94,first_class,846,non-refundable
186,94,first_class,946,refundable
187,99,business,605,non-refundable
188,99,business,680,refundable
189,99,coach,307,non-refundable
190,99,coach,357,refundable
191,99,first_class,831,non-refundable
192,99,first_class,931,refundable
193,100,business,509,non-refundable
194,100,business,584,refundable
195,100,coach,364,non-refundable
196,100,coach,414,refundable
197,100,first_class,968,non-refundable
198,100,first_class,1068,refundable
199,103,business,609,non-refundable
200,103,business,684,refundable
201,103,coach,392,non-refundable
202,103,coach,442,refundable
203,103,first_class,958,non-refundable
204,103,first_class,1058,refundable
205,107,business,541,non-refundable
206,107,business,616,refundable
207,107,coach,220,non-refundable
208,107,coach,270,refundable
209,107,first_class,890,non-refundable
210,107,first_class,990,refundable
211,111,business,520,non-refundable
212,111,business,595,refundable
213,111,coach,304,non-refundable
214,111,coach,354,refundable
215,111,first_class,804,non-refundable
216,111,first_class,904,refundable
217,117,business,639,non-refundable
218,117,business,714,refundable
219,117,coach,294,non-refundable
220,117,coach,344,refundable
221,117,first_class,859,non-refundable
222,117,first_class,959,refundable
223,120,business,671,non-refundable
224,120,business,746,refundable
225,120,coach,289,non-refundable
226,120,coach,339,refundable
227,120,first_class,919,non-refundable
228,120,first_class,1019,refundable
229,121,business,682,non-refundable
230,121,business,757,refundable
231,121,coach,311,non-refundable
232,121,coach,361,refundable
233,121,first_class,896,non-refundable
234,121,first_class,996,refundable
235,126,business,679,non-refundable
236,126,business,754,refundable
237,126,coach,318,non-refundable
238,126,coach,368,refundable
239,126,first_class,942,non-refundable
240,126,first_class,1042,refundable
241,128,business,594,non-refundable
242,128,business,669,refundable
243,128,coach,268,non-refundable
244,128,coach,318,refundable
245,128,first_class,928,non-refundable
246,128,first_class,1028,refundable
247,130,business,525,non-refundable
248,130,business,600,refundable
249,130,coach,239,non-refundable
250,130,coach,289,refundable
251,130,first_class,898,non-refundable
252,130,first_class,998,refundable
253,131,business,632,non-refundable
254,131,business,707,refundable
255,131,coach,309,non-refundable
256,131,coach,359,refundable
257,131,first_class,889,non-refundable
258,131,first_class,989,refundable
259,139,business,508,non-refundable
260,139,business,583,refundable
261,139,coach,399,non-refundable
262,139,coach,449,refundable
263,139,first_class,818,non-refundable
264,139,first_class,918,refundable
265,143,business,598,non-refundable
266,143,business,673,refundable
267,143,coach,226,non-refundable
268,143,coach,276,refundable
269,143,first_class,826,non-refundable
270,143,first_class,926,refundable
271,144,business,700,non-refundable
272,144,business,775,refundable
273,144,coach,396,non-refundable
274,144,coach,446,refundable
275,144,first_class,835,non-refundable
276,144,first_class,935,refundable
277,146,business,550,non-refundable
278,146,business,625,refundable
279,146,coach,239,non-refundable
280,146,coach,289,refundable
281,146,first_class,898,non-refundable
282,146,first_class,998,refundable
283,148,business,614,non-refundable
284,148,business,689,refundable
285,148,coach,200,non-refundable
286,148,coach,250,refundable
287,148,first_class,896,non-refundable
288,148,first_class,996,refundable
289,149,business,523,non-refundable
290,149,business,598,refundable
291,149,coach,313,non-refundable
292,149,coach,363,refundable
293,149,first_class,953,non-refundable
294,149,first_class,1053,refundable
295,151,business,607,non-refundable
296,151,business,682,refundable
297,151,coach,287,non-refundable
298,151,coach,337,refundable
299,151,first_class,840,non-refundable
300,151,first_class,940,refundable
301,156,business,585,non-refundable
302,156,business,660,refundable
303,156,coach,211,non-refundable
304,156,coach,261,refundable
305,156,first_class,881,non-refundable
306,156,first_class,981,refundable
307,162,business,560,non-refundable
308,162,business,635,refundable
309,162,coach,238,non-refundable
310,162,coach,288,refundable
311,162,first_class,872,non-refundable
312,162,first_class,972,refundable
313,167,business,524,non-refundable
314,167,business,599,refundable
315,167,coach,304,non-refundable
316,167,coach,354,refundable
317,167,first_class,942,non-refundable
318,167,first_class,1042,refundable
319,168,business,589,non-refundable
320,168,business,664,refundable
321,168,coach,321,non-refundable
322,168,coach,371,refundable
323,168,first_class,821,non-refundable
324,168,first_class,921,refundable
325,171,business,583,non-refundable
326,171,business,658,refundable
327,171,coach,218,non-refundable
328,171,coach,268,refundable
329,171,first_class,959,non-refundable
330,171,first_class,1059,refundable
331,172,business,684,non-refundable
332,172,business,759,refundable
333,172,coach,382,non-refundable
334,172,coach,432,refundable
335,172,first_class,961,non-refundable
336,172,first_class,1061,refundable
337,173,business,639,non-refundable
338,173,business,714,refundable
339,173,coach,218,non-refundable
340,173,coach,268,refundable
341,173,first_class,856,non-refundable
342,173,first_class,956,refundable
343,175,business,654,non-refundable
344,175,business,729,refundable
345,175,coach,302,non-refundable
346,175,coach,352,refundable
347,175,first_class,830,non-refundable
348,175,first_class,930,refundable
349,176,business,690,non-refundable
350,176,business,765,refundable
351,176,coach,263,non-refundable
352,176,coach,313,refundable
353,176,first_class,856,non-refundable
354,176,first_class,956,refundable
355,188,business,570,non-refundable
356,188,business,645,refundable
357,188,coach,232,non-refundable
358,188,coach,282,refundable
359,188,first_class,901,non-refundable
360,188,first_class,1001,refundable
361,191,business,587,non-refundable
362,191,business,662,refundable
363,191,coach,353,non-refundable
364,191,coach,403,refundable
365,191,first_class,958,non-refundable
366,191,first_class,1058,refundable
367,192,business,599,non-refundable
368,192,business,674,refundable
369,192,coach,337,non-refundable
370,192,coach,387,refundable
371,192,first_class,958,non-refundable
372,192,first_class,1058,refundable
373,195,business,504,non-refundable
374,195,business,579,refundable
375,195,coach,237,non-refundable
376,195,coach,287,refundable
377,195,first_class,938,non-refundable
378,195,first_class,1038,refundable
379,199,business,683,non-refundable
380,199,business,758,refundable
381,199,coach,242,non-refundable
382,199,coach,292,refundable
383,199,first_class,982,non-refundable
384,199,first_class,1082,refundable
385,204,business,572,non-refundable
386,204,business,647,refundable
387,204,coach,214,non-refundable
388,204,coach,264,refundable
389,204,first_class,899,non-refundable
390,204,first_class,999,refundable
391,206,business,612,non-refundable
392,206,business,687,refundable
393,206,coach,252,non-refundable
394,206,coach,302,refundable
395,206,first_class,813,non-refundable
396,206,first_class,913,refundable
397,207,business,591,non-refundable
398,207,business,666,refundable
399,207,coach,261,non-refundable
400,207,coach,311,refundable
401,207,first_class,989,non-refundable
402,207,first_class,1089,refundable
403,210,business,678,non-refundable
404,210,business,753,refundable
405,210,coach,283,non-refundable
406,210,coach,333,refundable
407,210,first_class,944,non-refundable
408,210,first_class,1044,refundable
409,215,business,627,non-refundable
410,215,business,702,refundable
411,215,coach,221,non-refundable
412,215,coach,271,refundable
413,215,first_class,850,non-refundable
414,215,first_class,950,refundable
415,217,business,532,non-refundable
416,217,business,607,refundable
417,217,coach,353,non-refundable
418,217,coach,403,refundable
419,217,first_class,847,non-refundable
420,217,first_class,947,refundable
421,219,business,669,non-refundable
422,219,business,744,refundable
423,219,coach,265,non-refundable
424,219,coach,315,refundable
425,219,first_class,991,non-refundable
426,219,first_class,1091,refundable
427,224,business,570,non-refundable
428,224,business,645,refundable
429,224,coach,205,non-refundable
430,224,coach,255,refundable
431,224,first_class,994,non-refundable
432,224,first_class,1094,refundable
433,240,business,504,non-refundable
434,240,business,579,refundable
435,240,coach,347,non-refundable
436,240,coach,397,refundable
437,240,first_class,932,non-refundable
438,240,first_class,1032,refundable
439,242,business,687,non-refundable
440,242,business,762,refundable
441,242,coach,310,non-refundable
442,242,coach,360,refundable
443,242,first_class,877,non-refundable
444,242,first_class,977,refundable
445,244,business,505,non-refundable
446,244,business,580,refundable
447,244,coach,379,non-refundable
448,244,coach,429,refundable
449,244,first_class,829,non-refundable
450,244,first_class,929,refundable
451,249,business,692,non-refundable
452,249,business,767,refundable
453,249,coach,357,non-refundable
454,249,coach,407,refundable
455,249,first_class,884,non-refundable
456,249,first_class,984,refundable
457,253,business,616,non-refundable
458,253,business,691,refundable
459,253,coach,260,non-refundable
460,253,coach,310,refundable
461,253,first_class,919,non-refundable
462,253,first_class,1019,refundable
463,258,business,570,non-refundable
464,258,business,645,refundable
465,258,coach,237,non-refundable
466,258,coach,287,refundable
467,258,first_class,946,non-refundable
468,258,first_class,1046,refundable
469,260,business,629,non-refundable
470,260,business,704,refundable
471,260,coach,261,non-refundable
472,260,coach,311,refundable
473,260,first_class,857,non-refundable
474,260,first_class,957,refundable
475,261,business,586,non-refundable
476,261,business,661,refundable
477,261,coach,319,non-refundable
478,261,coach,369,refundable
479,261,first_class,885,non-refundable
480,261,first_class,985,refundable
481,264,business,530,non-refundable
482,264,business,605,refundable
483,264,coach,341,non-refundable
484,264,coach,391,refundable
485,264,first_class,804,non-refundable
486,264,first_class,904,refundable
487,269,business,588,non-refundable
488,269,business,663,refundable
489,269,coach,296,non-refundable
490,269,coach,346,refundable
491,269,first_class,906,non-refundable
492,269,first_class,1006,refundable
493,272,business,599,non-refundable
494,272,business,674,refundable
495,272,coach,355,non-refundable
496,272,coach,405,refundable
497,272,first_class,917,non-refundable
498,272,first_class,1017,refundable
499,281,business,656,non-refundable
500,281,business,731,refundable
501,281,coach,387,non-refundable
502,281,coach,437,refundable
503,281,first_class,884,non-refundable
504,281,first_class,984,refundable
505,282,business,653,non-refundable
506,282,business,728,refundable
507,282,coach,218,non-refundable
508,282,coach,268,refundable
509,282,first_class,892,non-refundable
510,282,first_class,992,refundable
511,288,business,688,non-refundable
512,288,business,763,refundable
513,288,coach,314,non-refundable
514,288,coach,364,refundable
515,288,first_class,836,non-refundable
516,288,first_class,936,refundable
517,290,business,534,non-refundable
518,290,business,609,refundable
519,290,coach,218,non-refundable
520,290,coach,268,refundable
521,290,first_class,915,non-refundable
522,290,first_class,1015,refundable
523,298,business,529,non-refundable
524,298,business,604,refundable
525,298,coach,249,non-refundable
526,298,coach,299,refundable
527,298,first_class,994,non-refundable
528,298,first_class,1094,refundable
529,300,business,574,non-refundable
530,300,business,649,refundable
531,300,coach,338,non-refundable
532,300,coach,388,refundable
533,300,first_class,876,non-refundable
534,300,first_class,976,refundable
535,302,business,687,non-refundable
536,302,business,762,refundable
537,302,coach,334,non-refundable
538,302,coach,384,refundable
539,302,first_class,979,non-refundable
540,302,first_class,1079,refundable
541,304,business,558,non-refundable
542,304,business,633,refundable
543,304,coach,316,non-refundable
544,304,coach,366,refundable
545,304,first_class,822,non-refundable
546,304,first_class,922,refundable
547,305,business,555,non-refundable
548,305,business,630,refundable
549,305,coach,392,non-refundable
550,305,coach,442,refundable
551,305,first_class,961,non-refundable
552,305,first_class,1061,refundable
553,309,business,564,non-refundable
554,309,business,639,refundable
555,309,coach,306,non-refundable
556,309,coach,356,refundable
557,309,first_class,880,non-refundable
558,309,first_class,980,refundable
559,310,business,685,non-refundable
560,310,business,760,refundable
561,310,coach,399,non-refundable
562,310,coach,449,refundable
563,310,first_class,825,non-refundable
564,310,first_class,925,refundable
565,311,business,536,non-refundable
566,311,business,611,refundable
567,311,coach,275,non-refundable
568,311,coach,325,refundable
569,311,first_class,805,non-refundable
570,311,first_class,905,refundable
571,316,business,511,non-refundable
572,316,business,586,refundable
573,316,coach,214,non-refundable
574,316,coach,264,refundable
575,316,first_class,927,non-refundable
576,316,first_class,1027,refundable
577,318,business,612,non-refundable
578,318,business,687,refundable
579,318,coach,383,non-refundable
580,318,coach,433,refundable
581,318,first_class,933,non-refundable
582,318,first_class,1033,refundable
583,321,business,603,non-refundable
584,321,business,678,refundable
585,321,coach,379,non-refundable
586,321,coach,429,refundable
587,321,first_class,836,non-refundable
588,321,first_class,936,refundable
589,325,business,596,non-refundable
590,325,business,671,refundable
591,325,coach,297,non-refundable
592,325,coach,347,refundable
593,325,first_class,843,non-refundable
594,325,first_class,943,refundable
595,328,business,502,non-refundable
596,328,business,577,refundable
597,328,coach,385,non-refundable
598,328,coach,435,refundable
599,328,first_class,966,non-refundable
600,328,first_class,1066,refundable
601,329,business,699,non-refundable
602,329,business,774,refundable
603,329,coach,301,non-refundable
604,329,coach,351,refundable
605,329,first_class,916,non-refundable
606,329,first_class,1016,refundable
607,331,business,608,non-refundable
608,331,business,683,refundable
609,331,coach,227,non-refundable
610,331,coach,277,refundable
611,331,first_class,926,non-refundable
612,331,first_class,1026,refundable
613,334,business,653,non-refundable
614,334,business,728,refundable
615,334,coach,260,non-refundable
616,334,coach,310,refundable
617,334,first_class,818,non-refundable
618,334,first_class,918,refundable
619,335,business,699,non-refundable
620,335,business,774,refundable
621,335,coach,395,non-refundable
622,335,coach,445,refundable
623,335,first_class,808,non-refundable
624,335,first_class,908,refundable
625,340,business,559,non-refundable
626,340,business,634,refundable
627,340,coach,249,non-refundable
628,340,coach,299,refundable
629,340,first_class,989,non-refundable
630,340,first_class,1089,refundable
631,347,business,610,non-refundable
632,347,business,685,refundable
633,347,coach,331,non-refundable
634,347,coach,381,refundable
635,347,first_class,821,non-refundable
636,347,first_class,921,refundable
637,354,business,667,non-refundable
638,354,business,742,refundable
639,354,coach,248,non-refundable
640,354,coach,298,refundable
641,354,first_class,804,non-refundable
642,354,first_class,904,refundable
643,356,business,581,non-refundable
644,356,business,656,refundable
645,356,coach,386,non-refundable
646,356,coach,436,refundable
647,356,first_class,833,non-refundable
648,356,first_class,933,refundable
649,368,business,696,non-refundable
650,368,business,771,refundable
651,368,coach,208,non-refundable
652,368,coach,258,refundable
653,368,first_class,866,non-refundable
654,368,first_class,966,refundable
655,371,business,565,non-refundable
656,371,business,640,refundable
657,371,coach,321,non-refundable
658,371,coach,371,refundable
659,371,first_class,891,non-refundable
660,371,first_class,991,refundable
661,372,business,593,non-refundable
662,372,business,668,refundable
663,372,coach,219,non-refundable
664,372,coach,269,refundable
665,372,first_class,967,non-refundable
666,372,first_class,1067,refundable
667,377,business,529,non-refundable
668,377,business,604,refundable
669,377,coach,275,non-refundable
670,377,coach,325,refundable
671,377,first_class,996,non-refundable
672,377,first_class,1096,refundable
673,381,business,681,non-refundable
674,381,business,756,refundable
675,381,coach,235,non-refundable
676,381,coach,285,refundable
677,381,first_class,842,non-refundable
678,381,first_class,942,refundable
679,390,business,650,non-refundable
680,390,business,725,refundable
681,390,coach,378,non-refundable
682,390,coach,428,refundable
683,390,first_class,942,non-refundable
684,390,first_class,1042,refundable
685,391,business,585,non-refundable
686,391,business,660,refundable
687,391,coach,362,non-refundable
688,391,coach,412,refundable
689,391,first_class,999,non-refundable
690,391,first_class,1099,refundable
691,392,business,626,non-refundable
692,392,business,701,refundable
693,392,coach,399,non-refundable
694,392,coach,449,refundable
695,392,first_class,803,non-refundable
696,392,first_class,903,refundable
697,393,business,581,non-refundable
698,393,business,656,refundable
699,393,coach,349,non-refundable
700,393,coach,399,refundable
701,393,first_class,971,non-refundable
702,393,first_class,1071,refundable
703,394,business,522,non-refundable
704,394,business,597,refundable
705,394,coach,395,non-refundable
706,394,coach,445,refundable
707,394,first_class,931,non-refundable
708,394,first_class,1031,refundable
709,396,business,586,non-refundable
710,396,business,661,refundable
711,396,coach,236,non-refundable
712,396,coach,286,refundable
713,396,first_class,810,non-refundable
714,396,first_class,910,refundable
715,400,business,663,non-refundable
716,400,business,738,refundable
717,400,coach,363,non-refundable
718,400,coach,413,refundable
719,400,first_class,871,non-refundable
720,400,first_class,971,refundable
721,405,business,699,non-refundable
722,405,business,774,refundable
723,405,coach,220,non-refundable
724,405,coach,270,refundable
725,405,first_class,812,non-refundable
726,405,first_class,912,refundable
727,407,business,511,non-refundable
728,407,business,586,refundable
729,407,coach,240,non-refundable
730,407,coach,290,refundable
731,407,first_class,985,non-refundable
732,407,first_class,1085,refundable
733,410,business,502,non-refundable
734,410,business,577,refundable
735,410,coach,325,non-refundable
736,410,coach,375,refundable
737,410,first_class,810,non-refundable
738,410,first_class,910,refundable
739,411,business,678,non-refundable
740,411,business,753,refundable
741,411,coach,360,non-refundable
742,411,coach,410,refundable
743,411,first_class,848,non-refundable
744,411,first_class,948,refundable
745,412,business,698,non-refundable
746,412,business,773,refundable
747,412,coach,380,non-refundable
748,412,coach,430,refundable
749,412,first_class,928,non-refundable
750,412,first_class,1028,refundable
751,415,business,648,non-refundable
752,415,business,723,refundable
753,415,coach,213,non-refundable
754,415,coach,263,refundable
755,415,first_class,872,non-refundable
756,415,first_class,972,refundable
757,417,business,640,non-refundable
758,417,business,715,refundable
759,417,coach,333,non-refundable
760,417,coach,383,refundable
761,417,first_class,979,non-refundable
762,417,first_class,1079,refundable
763,420,business,610,non-refundable
764,420,business,685,refundable
765,420,coach,396,non-refundable
766,420,coach,446,refundable
767,420,first_class,811,non-refundable
768,420,first_class,911,refundable
769,425,business,693,non-refundable
770,425,business,768,refundable
771,425,coach,304,non-refundable
772,425,coach,354,refundable
773,425,first_class,893,non-refundable
774,425,first_class,993,refundable
775,429,business,549,non-refundable
776,429,business,624,refundable
777,429,coach,209,non-refundable
778,429,coach,259,refundable
779,429,first_class,963,non-refundable
780,429,first_class,1063,refundable
781,432,business,545,non-refundable
782,432,business,620,refundable
783,432,coach,341,non-refundable
784,432,coach,391,refundable
785,432,first_class,826,non-refundable
786,432,first_class,926,refundable
787,433,business,628,non-refundable
788,433,business,703,refundable
789,433,coach,391,non-refundable
790,433,coach,441,refundable
791,433,first_class,835,non-refundable
792,433,first_class,935,refundable
793,439,business,695,non-refundable
794,439,business,770,refundable
795,439,coach,325,non-refundable
796,439,coach,375,refundable
797,439,first_class,823,non-refundable
798,439,first_class,923,refundable
799,443,business,550,non-refundable
800,443,business,625,refundable
801,443,coach,223,non-refundable
802,443,coach,273,refundable
803,443,first_class,888,non-refundable
804,443,first_class,988,refundable
805,444,business,529,non-refundable
806,444,business,604,refundable
807,444,coach,344,non-refundable
808,444,coach,394,refundable
809,444,first_class,981,non-refundable
810,444,first_class,1081,refundable
811,445,business,678,non-refundable
812,445,business,753,refundable
813,445,coach,325,non-refundable
814,445,coach,375,refundable
815,445,first_class,821,non-refundable
816,445,first_class,921,refundable
817,447,business,536,non-refundable
818,447,business,611,refundable
819,447,coach,256,non-refundable
820,447,coach,306,refundable
821,447,first_class,880,non-refundable
822,447,first_class,980,refundable
823,450,business,647,non-refundable
824,450,business,722,refundable
825,450,coach,224,non-refundable
826,450,coach,274,refundable
827,450,first_class,957,non-refundable
828,450,first_class,1057,refundable
829,455,business,643,non-refundable
830,455,business,718,refundable
831,455,coach,340,non-refundable
832,455,coach,390,refundable
833,455,first_class,978,non-refundable
834,455,first_class,1078,refundable
835,456,business,518,non-refundable
836,456,business,593,refundable
837,456,coach,393,non-refundable
838,456,coach,443,refundable
839,456,first_class,968,non-refundable
840,456,first_class,1068,refundable
841,461,business,621,non-refundable
842,461,business,696,refundable
843,461,coach,265,non-refundable
844,461,coach,315,refundable
845,461,first_class,956,non-refundable
846,461,first_class,1056,refundable
847,463,business,625,non-refundable
848,463,business,700,refundable
849,463,coach,235,non-refundable
850,463,coach,285,refundable
851,463,first_class,891,non-refundable
852,463,first_class,991,refundable
853,464,business,604,non-refundable
854,464,business,679,refundable
855,464,coach,225,non-refundable
856,464,coach,275,refundable
857,464,first_class,947,non-refundable
858,464,first_class,1047,refundable
859,466,business,606,non-refundable
860,466,business,681,refundable
861,466,coach,338,non-refundable
862,466,coach,388,refundable
863,466,first_class,885,non-refundable
864,466,first_class,985,refundable
865,467,business,533,non-refundable
866,467,business,608,refundable
867,467,coach,319,non-refundable
868,467,coach,369,refundable
869,467,first_class,927,non-refundable
870,467,first_class,1027,refundable
871,468,business,563,non-refundable
872,468,business,638,refundable
873,468,coach,361,non-refundable
874,468,coach,411,refundable
875,468,first_class,902,non-refundable
876,468,first_class,1002,refundable
877,470,business,537,non-refundable
878,470,business,612,refundable
879,470,coach,339,non-refundable
880,470,coach,389,refundable
881,470,first_class,820,non-refundable
882,470,first_class,920,refundable
883,472,business,579,non-refundable
884,472,business,654,refundable
885,472,coach,208,non-refundable
886,472,coach,258,refundable
887,472,first_class,996,non-refundable
888,472,first_class,1096,refundable
889,473,business,657,non-refundable
890,473,business,732,refundable
891,473,coach,272,non-refundable
892,473,coach,322,refundable
893,473,first_class,926,non-refundable
894,473,first_class,1026,refundable
895,475,business,650,non-refundable
896,475,business,725,refundable
897,475,coach,398,non-refundable
898,475,coach,448,refundable
899,475,first_class,940,non-refundable
900,475,first_class,1040,refundable
901,477,business,542,non-refundable
902,477,business,617,refundable
903,477,coach,273,non-refundable
904,477,coach,323,refundable
905,477,first_class,968,non-refundable
906,477,first_class,1068,refundable
907,479,business,642,non-refundable
908,479,business,717,refundable
909,479,coach,351,non-refundable
910,479,coach,401,refundable
911,479,first_class,828,non-refundable
912,479,first_class,928,refundable
913,482,business,645,non-refundable
914,482,business,720,refundable
915,482,coach,238,non-refundable
916,482,coach,288,refundable
917,482,first_class,956,non-refundable
918,482,first_class,1056,refundable
919,486,business,559,non-refundable
920,486,business,634,refundable
921,486,coach,330,non-refundable
922,486,coach,380,refundable
923,486,first_class,976,non-refundable
924,486,first_class,1076,refundable
925,497,business,613,non-refundable
926,497,business,688,refundable
927,497,coach,222,non-refundable
928,497,coach,272,refundable
929,497,first_class,946,non-refundable
930,497,first_class,1046,refundable
931,498,business,539,non-refundable
932,498,business,614,refundable
933,498,coach,343,non-refundable
934,498,coach,393,refundable
935,498,first_class,835,non-refundable
936,498,first_class,935,refundable
937,499,business,673,non-refundable
938,499,business,748,refundable
939,499,coach,372,non-refundable
940,499,coach,422,refundable
941,499,first_class,850,non-refundable
942,499,first_class,950,refundable
943,501,business,602,non-refundable
944,501,business,677,refundable
945,501,coach,318,non-refundable
946,501,coach,368,refundable
947,501,first_class,858,non-refundable
948,501,first_class,958,refundable
949,502,business,548,non-refundable
950,502,business,623,refundable
951,502,coach,203,non-refundable
952,502,coach,253,refundable
953,502,first_class,856,non-refundable
954,502,first_class,956,refundable
955,507,business,562,non-refundable
956,507,business,637,refundable
957,507,coach,284,non-refundable
958,507,coach,334,refundable
959,507,first_class,842,non-refundable
960,507,first_class,942,refundable
961,513,business,692,non-refundable
962,513,business,767,refundable
963,513,coach,259,non-refundable
964,513,coach,309,refundable
965,513,first_class,903,non-refundable
966,513,first_class,1003,refundable
967,519,business,528,non-refundable
968,519,business,603,refundable
969,519,coach,395,non-refundable
970,519,coach,445,refundable
971,519,first_class,865,non-refundable
972,519,first_class,965,refundable
973,524,business,562,non-refundable
974,524,business,637,refundable
975,524,coach,278,non-refundable
976,524,coach,328,refundable
977,524,first_class,870,non-refundable
978,524,first_class,970,refundable
979,525,business,677,non-refundable
980,525,business,752,refundable
981,525,coach,381,non-refundable
982,525,coach,431,refundable
983,525,first_class,820,non-refundable
984,525,first_class,920,refundable
985,527,business,650,non-refundable
986,527,business,725,refundable
987,527,coach,213,non-refundable
988,527,coach,263,refundable
989,527,first_class,986,non-refundable
990,527,first_class,1086,refundable
991,528,business,507,non-refundable
